"activity" "subjectId" "variable" "mean"
"laying" 19 "fBodyAccJerk-mean()-X" -0.48421303958461
"laying" 19 "fBodyAccJerk-mean()-Y" -0.49177051765
"laying" 19 "fBodyAccJerk-mean()-Z" -0.596987771010638
"laying" 19 "fBodyAccJerk-std()-X" -0.475886085932979
"laying" 19 "fBodyAccJerk-std()-Y" -0.460040238390355
"laying" 19 "fBodyAccJerk-std()-Z" -0.656625512764504
"laying" 19 "fBodyAccMag-mean()" -0.442152560739255
"laying" 19 "fBodyAccMag-std()" -0.613439689329787
"laying" 19 "fBodyAcc-mean()-X" -0.477185043103227
"laying" 19 "fBodyAcc-mean()-Y" -0.400042026700426
"laying" 19 "fBodyAcc-mean()-Z" -0.557277430894504
"laying" 19 "fBodyAcc-std()-X" -0.456750917149291
"laying" 19 "fBodyAcc-std()-Y" -0.413717522581738
"laying" 19 "fBodyAcc-std()-Z" -0.60416090492695
"laying" 19 "fBodyBodyAccJerkMag-mean()" -0.463697247065319
"laying" 19 "fBodyBodyAccJerkMag-std()" -0.546596600775887
"laying" 19 "fBodyBodyGyroJerkMag-mean()" -0.645500585606383
"laying" 19 "fBodyBodyGyroJerkMag-std()" -0.690258655705674
"laying" 19 "fBodyBodyGyroMag-mean()" -0.542929656906738
"laying" 19 "fBodyBodyGyroMag-std()" -0.578759700079787
"laying" 19 "fBodyGyro-mean()-X" -0.436778112799291
"laying" 19 "fBodyGyro-mean()-Y" -0.547965143065248
"laying" 19 "fBodyGyro-mean()-Z" -0.500185710441915
"laying" 19 "fBodyGyro-std()-X" -0.579925107574326
"laying" 19 "fBodyGyro-std()-Y" -0.561207403280851
"laying" 19 "fBodyGyro-std()-Z" -0.617567859386525
"laying" 19 "tBodyAccJerkMag-mean()" -0.462907588320922
"laying" 19 "tBodyAccJerkMag-std()" -0.496521162673404
"laying" 19 "tBodyAccJerk-mean()-X" 0.0779477317570567
"laying" 19 "tBodyAccJerk-mean()-Y" 0.01197467159536
"laying" 19 "tBodyAccJerk-mean()-Z" -0.00263531556095035
"laying" 19 "tBodyAccJerk-std()-X" -0.456033263519823
"laying" 19 "tBodyAccJerk-std()-Y" -0.45916968473617
"laying" 19 "tBodyAccJerk-std()-Z" -0.627422831732979
"laying" 19 "tBodyAccMag-mean()" -0.410877683475496
"laying" 19 "tBodyAccMag-std()" -0.498668963457695
"laying" 19 "tBodyAcc-mean()-X" 0.268339183113475
"laying" 19 "tBodyAcc-mean()-Y" -0.0187589558484787
"laying" 19 "tBodyAcc-mean()-Z" -0.12140415774744
"laying" 19 "tBodyAcc-std()-X" -0.461518195570603
"laying" 19 "tBodyAcc-std()-Y" -0.382898728217553
